psychonaut_wiki_id,erowid_id
1P-ETH-LAD,1PETHLAD
1P-LSD,1PLSD
AL-LAD,ALLAD
ALD-52,ALD52
ETH-LAD,ETHLAD
LSA,Morning_Glory
LSD,LSD
LSM-775,LSM775
LSZ,LSZ
DET,DET
DMT,DMT
DPT,DPT
DiPT,DiPT
EPT,EPT
MET,MET
MiPT,MIPT
AMT,AMT
4-AcO-DET,4AcODET
4-AcO-DMT,4AcODMT
4-AcO-DiPT,4AcODiPT
4-AcO-MET,4AcOMET
4-AcO-MiPT,4AcOMiPT
4-HO-DET,4HODET
Psilocin,Mushrooms
4-HO-DPT,4HODPT
4-HO-DiPT,4HODiPT
4-HO-EPT,4HOEPT
4-HO-MET,4HOMET
4-HO-MPT,4HOMPT
4-HO-MiPT,4HOMiPT
Bufotenin,Bufotenin
5-MeO-DALT,5MeODALT
5-MeO-DMT,5MeODMT
5-MeO-DiPT,5MeODiPT
5-MeO-MiPT,5MeOMIPT
Ibogaine,Ibogaine
Salvinorin_A,Salvia_divinorum
Allylescaline,Allylescaline
Escaline,Escaline
Mescaline,Cacti_Mescalinecontaining
Methallylescaline,Methallylescaline
Proscaline,Proscaline
2C-B,2CB
2C-C,2CC
2C-D,2CD
2C-E,2CE
2C-I,2CI
2C-P,2CP
2C-T-2,2CT2
2C-T-7,2CT7
2C-T-21,2CT21
DOB,DOB
DOC,DOC
DOI,DOI
DOM,DOM
25B-NBOMe,25BNBOMe
25C-NBOMe,25CNBOMe
25D-NBOMe,25DNBOMe
25I-NBOMe,25INBOMe
25C-NBOH,25CNBOH
25I-NBOH,25INBOH
2C-B-FLY,2CBFly
3C-E,3CE
5-MeO-DiBF,5MeODiBF
Bk-2C-B,bk2CB
Bromo-DragonFLY,BromoDragonfly
TMA-2,TMA2
TMA-6,TMA6
